complaint_id,complaint_brand,complaint_model,complaint_type,complaint_desc,complaint_problem,complaint_time,complaint_status
524298,奇瑞汽车,瑞虎3x,2017款 1.5L 自动 时尚版,奇瑞瑞虎3x事故车维修后防冻液水壶爆炸,"A191,",2020-09-20,信息审核
524295,沃尔沃亚太,沃尔沃S90,2020款 T5 智逸豪华版,亚太沃尔沃S90发动机舱内有异响方向盘抖动	,"A9,D80,",2020-09-20,信息审核
524294,东风本田,本田CR-V,2019款 240TURBO CVT 两驱 舒适版 国V,东风本田CR-V经销商违规收取续保押金,"K309,",2020-09-20,信息审核
524291,广汽本田,缤智,2017款 1.5L CVT 两驱 舒适型,广汽本田缤智变速箱电磁阀故障希望厂家处理,"B84,",2020-09-20,信息审核
524288,BEIJING汽车,绅宝X55,2016款 1.5T CVT 精英版,BEIJING绅宝X55变速箱故障灯亮无法行驶,"B96,B334,",2020-09-20,信息审核
524286,广汽丰田,凯美瑞,2008款 200G 2.0 自动 豪华版,广汽丰田凯美瑞仪表台有脱皮开裂的现象,"H176,",2020-09-20,信息审核
524284,北汽新能源,EV系列,2014款 E150 EV 科技版,北汽新能源EV系列动力电池故障4S店不保修,"H343,J300,",2020-09-20,信息审核
524283,长安汽车,长安CS35,2017款 1.6L 自动 豪华型,长安CS35发动机盖和叶子板漆面开裂而且生锈,"H79,H81,",2020-09-20,信息审核
524281,长安铃木,维特拉,2016款 1.4T 手动 两驱 豪华型,长安铃木维特拉行驶过程中方向盘卡顿有异响,"D59,D123,",2020-09-20,信息审核
524274,上汽大众,朗逸,2017款 230TSI 双离合 舒适版,上汽大众朗逸韩泰轮胎全部出现开裂,"F100,",2020-09-20,信息审核
524271,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾轮胎韩泰开裂影响驾驶安全,"F100,",2020-09-20,信息审核
524267,东风雪铁龙,雪铁龙C4L,2013款 1.8L 自动 劲智版,东风雪铁龙C4L方向盘晃动严重希望厂家处理,"D265,",2020-09-20,信息审核
524263,一汽-大众,迈腾,2017款 330TSI DSG 领先型,一汽大众迈腾车身漆面有爆漆的现象,"H81,",2020-09-20,信息审核
524261,上汽大众,途观L,2018款 330TSI 自动 两驱 豪华版,上汽大众途观L备胎盖板出现断裂的现象,"H168,",2020-09-20,信息审核
524256,众泰汽车,众泰T600,2014款 1.5T 手动 豪华型,众泰T600漆面起泡开裂大灯掉皮严重,"H81,H220,",2020-09-20,信息审核
524255,比亚迪,速锐,2014款 1.5L 手动 尊贵型,比亚迪速锐空调无暖风厂家无解决,"H101,",2020-09-20,厂家受理
524253,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲智版,东风雪铁龙C4L方向盘晃动希望厂家处理,"D265,",2020-09-20,信息审核
524251,广汽本田,雅阁,2018款 2.0L 锐领版 锐·混动 国VI,广汽本田雅阁天窗异响希望厂家处理,"H89,",2020-09-20,厂家受理
524248,东风风行,景逸,2012款 1.5L 手动 尊享型 LV,东风风行景逸车辆尾气无法通过检测,"A114,",2020-09-20,信息审核
524246,长城汽车,哈弗H8,2015款 2.0T 四驱 豪华型 5座,哈弗H8前桥差速器异响希望尽快解决	,"G127,",2020-09-20,厂家受理
524245,BEIJING汽车,绅宝D50,2016款 1.5L CVT 精英版,绅宝D50行驶过程中变速箱出现异响,"B33,",2020-09-20,信息审核
524244,一汽奔腾,奔腾T77,2020款 PRO 280 TID 自动 豪华型,一汽奔腾T77行驶过程中变速箱有异响,"B33,",2020-09-20,信息审核
524243,华晨宝马,宝马3系,2020款 320Li M运动套装,华晨宝马3系4S店不予退还购车订金,"K309,",2020-09-20,信息审核
524241,宝沃汽车,宝沃BX5,2020款 20TGDI 自动 两驱先锋型,宝沃BX5行驶中下坡变速箱脱挡要求解决	,"B246,",2020-09-20,信息审核
524239,长城汽车,哈弗M6,2018款 1.5T DCT 两驱 精英型 改款,哈弗M6天窗框架处出现生锈的现象,"H79,",2020-09-20,厂家受理
524236,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾四条韩泰轮胎开裂严重,"F100,",2020-09-20,信息审核
524232,北京奔驰,奔驰GLC,2020款 改款 GLC 260 L 4MATIC 动感型,北京奔驰GLC行驶中发动机异响售后未解决,"A9,",2020-09-20,信息审核
524229,东风悦达起亚,起亚K3,2016款 1.6L 自动 GLS,东风悦达起亚K3空调压缩机存在有故障,"H101,",2020-09-20,信息审核
524223,一汽-大众奥迪,奥迪A4L,2017款 2.0T 双离合 运动型,一汽大众奥迪A4L车内顶棚渗水存在质量问题,"H109,",2020-09-20,信息审核
524222,奔驰（进口）,奔驰E级（进口）,2010款 1.8T 自动 260 CGI 时尚型,进口奔驰E级车内异味希望厂家处理问题,"H185,",2020-09-20,信息审核
524217,猎豹汽车,猎豹CS9,2017款 1.5L CVT 风尚型,猎豹CS9车载影音系统无法使用希望厂家处理,"H134,H155,",2020-09-20,信息审核
524215,广汽丰田,凯美瑞,2008款 200G 2.0 自动 豪华版,广汽丰田凯美瑞仪表台出油开裂影响使用,"H176,",2020-09-20,信息审核
524212,华晨宝马,宝马5系,2020款 530Li 领先型 豪华套装,华晨宝马5系前挡风玻璃开裂存在质量问题,"H113,",2020-09-20,信息审核
524211,北京现代,现代ix35,2018款 2.0L 自动 两驱 智勇·畅享版,北京现代ix35转向时异响抖动希望厂家处理,"D59,D80,",2020-09-20,信息审核
524209,华晨宝马,宝马3系,2020款 325Li M运动曜夜套装,华晨宝马3系右后门锁块故障存在质量问题,"H197,N318,",2020-09-20,信息审核
524203,一汽-大众,探岳,2019款 330TSI 两驱 豪华型Plus 国VI,一汽大众探岳雨刮器在工作时出现异响,"H60,",2020-09-20,信息审核
524202,一汽-大众奥迪,奥迪A6L,2014款 30 FSI CVT  舒适型,一汽大众奥迪A6L天窗漏水导致驾驶室泡水,"H90,",2020-09-20,信息审核
524200,上汽大众斯柯达,Yeti,2017款 TSI280 DSG 车享兄弟版,斯柯达Yeti车内有严重异味影响身体健康,"H185,",2020-09-20,信息审核
524196,一汽大众,捷达VS7,2020款 1.4T 自动 荣耀型,捷达VS7天窗处有漏水的现象要求解决,"H90,",2020-09-20,信息审核
524195,上汽通用五菱,宝骏530,2018款 1.5T 手动 舒适型 国V,宝骏530原地或行驶过程中转向有异响,"D59,",2020-09-20,厂家受理
524192,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 豪华版,奇瑞瑞虎8车机系统屏幕黑屏无法使用,"H134,",2020-09-20,信息审核
524189,一汽红旗,红旗HS5,2019款 2.0T 智联旗享四驱版,一汽红旗HS5新车安全气囊故障灯亮,"H103,",2020-09-20,信息审核
524187,奔驰（进口）,奔驰GLE,2020款 改款二 GLE 350 4MATIC 时尚型,进口奔驰GLE 4S店加装行车记录仪将线路损坏,"J299,",2020-09-20,信息审核
524186,上汽通用五菱,宝骏530,2020款 1.5T CVT 尊贵互联型 7座,宝骏530安全气囊故障灯亮电子手刹报警,"E159,H103,",2020-09-20,厂家受理
524184,长城汽车,WEY VV5,2020款 1.5T 两驱 颜先锋,WEY VV5厂家不予更改预留的手机号,"I295,",2020-09-20,信息审核
524182,东风日产,奇骏,2014款 2.5L XL CVT 四驱 豪华版,东风日产奇骏变速箱故障导致无法升挡,"B20,",2020-09-20,信息审核
524181,华泰汽车,圣达菲,2015款 1.5T 手动 汽油 两驱豪华版,华泰圣达菲胎压监测损坏无法显示胎压数据,"H203,",2020-09-20,信息审核
524177,一汽丰田,卡罗拉,2017款 1.2T CVT GL,一汽丰田卡罗拉发动机和ESP故障灯亮,"A34,E74,",2020-09-20,信息审核
524176,一汽-大众,速腾,2018款 280TSI DSG熠动版, 一汽大众速腾韩泰轮胎出现开裂的现象,"F100,",2020-09-20,信息审核
524172,一汽红旗,红旗H5,2019款 30TD 型动版,一汽红旗H5车窗无法升降挡风玻璃处起雾,"H93,H67,",2020-09-20,信息审核
524169,长城汽车,WEY VV5,2017款 VV5 超豪型,WEY VV5两前雾灯灯罩有起皮的现象,"H81,H220,",2020-09-20,信息审核
524168,一汽大众,捷达VS7,2020款 1.4T 自动 悦享型,捷达VS7车身漆面过薄而且漆面生锈泛黄,"H79,",2020-09-20,信息审核
524167,一汽-大众,捷达,2019款 1.5L 手动 时尚型 梦想版,一汽大众捷达厂家减配后防撞梁要求处理,"Q350,",2020-09-20,信息审核
524163,长安汽车,长安CS55,2017款 1.5T 自动 炫动型,长安CS55电瓶亏电导致发动机无法启动,"H146,",2020-09-20,信息审核
524162,众泰汽车,众泰E200,2016款 纯电动 三门两座科技版,众泰E200制动失效刹车泵损坏厂家无配件 ,"E29,E196,N318,",2020-09-20,信息审核
524160,一汽-大众奥迪,奥迪A6L,2020款 40 TFSI 豪华致雅型,一汽大众奥迪A6L怠速抖动熄火变速箱无一挡,"A14,A35,B20,",2020-09-20,信息审核
524156,猎豹汽车,猎豹CS9,2018款 1.5T CVT 劲锐型,猎豹CS9中控屏主界面停用无法进行操作,"H134,",2020-09-20,信息审核
524146,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯亮度低影响行车安全,"H82,",2020-09-20,信息审核
524137,一汽-大众,探岳,2020款 280TSI 两驱 豪华智联版,一汽大众探岳新车发动机启停故障无法解决	,"H263,",2020-09-20,信息审核
524130,东风标致,标致508,2015款 1.6THP 自动 致臻版,东风标致508发动机烧机油越来越严重,"A63,",2020-09-20,信息审核
524129,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机烧机油抖动前后桥异响,"A24,A63,G158,",2020-09-20,信息审核
524124,东风标致,标致207,2011款 1.4 手动 驭乐版 两厢,东风标致207行驶时右后轮晃动车身不稳定,"G125,G162,",2020-09-20,信息审核
524117,吉利汽车,缤瑞,2019款 200T DCT 缤致版,吉利缤瑞变速箱顿挫发动机抖动压缩机异响,"A24,B19,H101,H81,H72,H164,",2020-09-20,信息审核
524115,上汽集团,荣威350,2010款 1.5 自动 讯达版 350S,上汽荣威350空调风门翻板断裂导致空调无风,"H101,H168,",2020-09-20,信息审核
524103,广汽丰田,凯美瑞,2007款 240G 豪华版,广汽丰田凯美瑞仪表台出现出油开裂的现象,"H176,",2020-09-19,信息审核
524101,江铃汽车,特顺,2019款 2.8T 商运型 短轴 中顶 3座 国VI JX493,江铃特顺发动机和SVS故障灯多次亮起,"A34,A163,A114,",2020-09-19,信息审核
524099,上汽大众斯柯达,柯迪亚克GT,2019款 TSI330 两驱 豪华版 国VI,斯柯达柯迪亚克GT置换补贴购车一年未发放,"I295,L313,",2020-09-19,信息审核
524098,东风标致,标致308,2018款 1.6L 手动 时尚版,东风标致308座椅前后调节拉杆断裂,"H168,H169,",2020-09-19,信息审核
524097,一汽-大众,宝来,2020款 1.5L 自动 舒适型,一汽大众宝来购车时4S店未给合格证,"O353,",2020-09-19,信息审核
524084,众泰汽车,众泰Z700,2016款 1.8T DCT 典雅型,众泰Z700变速箱顿挫 转向异响4S店退网,"A12,B19,D59,N318,O326,",2020-09-19,信息审核
524080,海马汽车,海马S5,2014款 1.6L 手动 智炫型 5座,海马S5车身生锈严重存在质量问题,"H79,",2020-09-19,信息审核
524079,一汽-大众,速腾,2020款 280TSI DSG 舒适型 国VI,一汽大众速腾变速箱挂挡异响车窗异响,"B33,H72,",2020-09-19,信息审核
524077,一汽-大众,探岳,2019款 330TSI 四驱 豪华型 国Ⅵ,一汽大众探岳天窗玻璃开裂希望厂家处理,"H113,",2020-09-19,信息审核
524069,上汽通用五菱,五菱宏光,2016款 1.5L 舒适型 S 改款,上汽通用五菱宏光变速箱异响要求免费维修,"B33,",2020-09-19,厂家受理
524062,北京现代,现代ix35,2012款 2.0L 自动 两驱 精英版 GLS,北京现代ix35发动机烧机油拉缸希望厂家处理,"A63,A329,",2020-09-19,信息审核
524059,上汽大众,朗逸,2019款 1.5L 自动 风尚版 国VI,上汽大众朗逸松油门异响购车补贴未兑现,"A9,L313,",2020-09-19,信息审核
524056,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳车灯雾化影响夜间行车,"H82,",2020-09-19,信息审核
524052,东风日产,逍客,2019款 2.0L CVT 豪华版,东风日产逍客仪表提示发动机故障灯亮,"A34,",2020-09-19,信息审核
524048,广汽丰田,凯美瑞,2007款 200G 2.0 NAVI 豪华导航版,广汽丰田凯美瑞仪表台非正常老化黏手反光,"H176,",2020-09-19,信息审核
524046,一汽丰田,威驰,2014款 1.5L 自动 智享版,一汽丰田威驰中控边缘变形异响严重,"H176,H93,",2020-09-19,信息审核
524043,长安马自达,马自达3 昂克赛拉,2020款 1.5L 自动 质美版,长安马自达昂克赛拉中控异响发动机渗油,"A12,H93,",2020-09-19,信息审核
524042,一汽丰田,亚洲龙,2019款 2.5L Touring 尊贵版 国Ⅵ,一汽丰田亚洲龙车内异响严重希望厂家处理,"H164,",2020-09-19,信息审核
524041,猎豹汽车,猎豹CS9,2017款 1.5L 手动 风尚型,猎豹CS9车载互联功能无法使用希望厂家处理,"H134,H155,",2020-09-19,信息审核
524038,北京现代,悦动,2018款 1.6L 自动 悦目版 GL 国VI,北京现代悦动发动机异响厂家未回复处理,"A9,",2020-09-19,信息审核
524034,一汽-大众,高尔夫,2019款 280TSI DSG 舒适型 国V,一汽大众高尔夫韩泰轮胎开裂存在质量问题,"F100,",2020-09-19,信息审核
524033,一汽丰田,奕泽IZOA,2020款 2.0L 奕驰版,一汽丰田奕泽行驶中顶棚或天窗异响,"H164,H89,",2020-09-19,信息审核
524032,上汽大众,途铠,2019款 280TSI DSG 舒适版,上汽大众途铠电瓶亏电 转向机生锈,"H79,H146,",2020-09-19,信息审核
524029,上汽集团,锐腾,2019款 20T 自动 豪华氙灯版,上汽名爵锐腾底盘生锈希望厂家处理问题,"H79,",2020-09-19,厂家受理
524024,一汽-大众,探岳,2019款 330TSI 两驱 豪华型Plus 国VI,一汽大众探岳车灯透镜发白照射效果极差,"H82,",2020-09-19,信息审核
524012,北京奔驰,奔驰GLB,2020款 GLB 200 时尚型,北京奔驰GLB行驶中后排右侧异响严重,"H164,",2020-09-19,信息审核
524010,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国V,一汽大众奥迪A4L中控变速箱异响严重,"B33,H93,",2020-09-19,信息审核
524004,东风本田,本田CR-V,2019款 240TURBO CVT 两驱 舒适版 国VI,东风本田CR-V机油增多希望厂家处理,"A339,",2020-09-19,厂家受理
523999,奇瑞汽车,捷途X70,2018款 1.5T 手动 悦行版,捷途X70车身漏水多次维修未解决问题,"H101,H109,",2020-09-19,信息审核
523994,长安汽车,逸动XT,2016款 1.6L 自动 俊酷型 XT,长安逸动XT变速箱P挡无故卡死希望厂家处理,"B20,",2020-09-19,信息审核
523984,奇瑞汽车,艾瑞泽5,2016款 1.5L 手动 领锐版,奇瑞艾瑞泽5天窗无法关闭存在质量问题,"H192,",2020-09-19,信息审核
523980,一汽-大众,迈腾,2018款 330TSI DSG 豪华型,一汽大众迈腾打方向盘异响韩泰轮胎开裂,"D59,F100,",2020-09-19,信息审核
523975,一汽丰田,皇冠,2018款 2.0T 时尚版,一汽丰田皇冠转向异响卡死影响安全,"D59,D123,",2020-09-19,信息审核
523974,吉利汽车,帝豪GS,2016款 1.8L 手动 领尚型 优雅版,吉利帝豪GS漆面开裂 厂家不予质保,"H81,",2020-09-19,信息审核
523972,知豆电动车,知豆D2,2017款 D2S,知豆D2行驶过程中变速器自动脱挡要求处理,"B246,",2020-09-19,厂家受理
523971,长城汽车,哈弗H2,2014款 1.5T 手动 两驱精英版 5座,哈弗H2转向机故障希望厂家处理稳问题,"D265,",2020-09-19,厂家受理
523965,东风日产,劲客,2017款 1.5L CVT 智行版,东风日产劲客前挡风玻璃密封胶条严重老化,"H48,",2020-09-19,信息审核
523962,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 精英版 大六座,奇瑞瑞虎8新车发动机盖漆面龟裂质量差,"H81,",2020-09-19,信息审核
523960,东风标致,标致307,2010款 307两厢 2.0 自动 运动版,东风标致307大灯远光无法关闭希望解决,"H110,",2020-09-19,信息审核
523958,上汽大众,途观L,2019款 330TSI 自动 两驱 智动豪华版 国VI,上汽大众途观L发动机1200转共振变速箱啸叫,"A9,B33,B208,",2020-09-19,信息审核
523957,东风本田,杰德,2016款 1.8L 自动 舒适版 5座,东风本田杰德原装导航黑屏死机多次更换,"H21,",2020-09-19,厂家受理
523955,江铃福特,领界,2020款 领界S EcoBoost 145 CVT 铂领型,江铃福特领界销售人员业务不精 态度恶劣,"I293,J299,",2020-09-19,处理反馈
523951,一汽红旗,红旗H5,2019款 30TD 灵动版,一汽红旗H5全款购车4S店不给登记证书,"O353,",2020-09-19,信息审核
523950,广汽乘用车,传祺GS7,2017款 280T 两驱 豪华型,广汽传祺GS7密封条变形剥离存在质量问题,"H48,",2020-09-19,信息审核
523949,一汽-大众奥迪,奥迪A4L,2013款 2.0T 自动 舒适型,一汽大众奥迪A4L CVT变速箱加速迟缓,"B334,",2020-09-19,信息审核
523948,奇瑞汽车,捷途X70,2018款 1.5T 手动 畅行版,捷途X70刹车异响严重希望厂家解决,"E43,",2020-09-19,信息审核
523941,东南汽车,V5菱致,2012款 1.5L 手动 标准型,东南V5菱致车身下边梁生锈严重影响安全,"H79,",2020-09-19,信息审核
523937,一汽-大众,宝来,2018款 1.5L 手动 时尚型,一汽大众宝来油箱盖拉绳断裂质量差,"H168,",2020-09-19,信息审核
523935,东风雪铁龙,雪铁龙C4L,2015款 1.2T 自动 豪华版,东风雪铁龙C4L正时皮带掉渣导致烧机油,"A63,A336,",2020-09-19,信息审核
523934,长城汽车,哈弗H7,2018款 蓝标H7 2.0T 自动 智享型 改款,哈弗H7冷车时变速箱抖动严重希望厂家处理,"B95,",2020-09-19,处理反馈
523932,一汽-大众奥迪,奥迪A6L,2018款 45 TFSI 双离合 quattro 运动型,一汽大众奥迪A6L发动机及后桥异响,"A9,G158,",2020-09-19,信息审核
523931,路虎进口,发现,2020款 3.0 SC V6 SE,进口路虎发现变速箱漏油存在质量问题,"B22,",2020-09-19,信息审核
523915,一汽-大众,高尔夫,2017款 230TSI 自动 舒适百万辆纪念版,一汽大众高尔夫车身抖动启动时异响,"A9,A24,B33,",2020-09-19,信息审核
523913,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度冷车启动时发动机异响,"A9,",2020-09-19,信息审核
523911,广汽本田,雅阁,2016款 2.0L CVT 精英版,广汽本田雅阁电子手刹异响希望免费更换,"E43,E159,",2020-09-19,厂家受理
523910,北京现代,菲斯塔,2019款 280TGDi 智速版 国VI,北京现代菲斯塔4S店做漆色差大 承诺不兑现,"J303,L314,",2020-09-19,信息审核
523909,东风悦达起亚,起亚K3,2016款 1.6L 自动 GLS,东风悦达起亚K3打方向时存在严重异响,"D59,",2020-09-19,信息审核
523907,东风日产,轩逸,2019款 1.6XV CVT 智联尊享版 国VI,东风日产轩逸发动机异响严重要求解决,"A9,",2020-09-19,信息审核
523903,东风日产,轩逸,2019款 1.6XV CVT 智联尊享版 国VI,东风日产轩逸发动机异响要求厂家解决,"A9,",2020-09-19,信息审核
523895,一汽丰田,RAV4荣放,2020款 2.0L CVT 四驱 风尚版,一汽丰田RAV4荣放置换补贴未兑现故意拖延,"I282,L313,",2020-09-19,信息审核
523894,长安汽车,长安欧尚CX70,2016款 1.6L 手动 豪华型,长安欧尚CX70变速箱尾牙异响存在质量问题,"B33,",2020-09-19,信息审核
523893,一汽-大众,迈腾,2019款 330TSI DSG 豪华型 国VI,一汽大众迈腾故意抬高保费拖车乱收人工费,"K307,K308,",2020-09-19,信息审核
523892,东风日产,楼兰,2017款 2.5L XL 两驱 智尚版,东风日产楼兰发动机共振导致排气管爆裂异响,"H31,",2020-09-19,信息审核
523890,江淮汽车,瑞风M4,2019款 2.0L 手动 商务型 悦享系列 国VI,江淮瑞风M4发动机怠速抖动一直没有解决,"A24,",2020-09-19,信息审核
523885,华晨宝马,宝马3系,2017款 320Li M 运动型,华晨宝马3系汽缸盖平衡罐防冻液软管有缺陷,"A37,",2020-09-19,信息审核
523881,上汽通用五菱,五菱宏光,2010款 1.4 豪华型,上汽通用五菱宏光主驾座椅被内支撑顶破,"H169,",2020-09-19,处理反馈
523878,东风标致,标致408,2013款 2.0 自动 舒适版,东风标致408车内存在严重的沥青味,"H185,",2020-09-19,信息审核
523874,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408更换皮带后发动机烧机油,"A63,",2020-09-19,信息审核
523873,上汽大众,朗逸,2019款 两厢 280TSI DSG 豪华版 国VI,上汽大众朗逸发动机高压油泵和变速箱异响,"A9,B33,",2020-09-19,信息审核
523872,东南汽车,东南DX3,2016款 1.5L SRG 手动 尊贵型,东南DX3高速行驶共振严重要求厂家解决,"H268,H15,",2020-09-19,信息审核
523871,长安汽车,睿骋,2014款 1.8T 自动 尊贵周年版 国IV,长安睿骋车内异味 空调制冷效果差,"H79,H185,H101,",2020-09-19,厂家受理
523870,一汽奔腾,奔腾B50,2018款 1.6L 手动 20周年纪念版,一汽奔腾B50方向卡滞难以修正影响安全,"D123,",2020-09-19,信息审核
523865,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国VI,一汽大众奥迪A4L车机和变速箱异响,"B33,H134,",2020-09-19,信息审核
523862,北京现代,朗动,2015款 1.6L 手动 领先型,北京现代朗动中控黑屏时好时坏无法使用,"H134,",2020-09-19,信息审核
523861,一汽-大众,速腾,2018款 1.6L 自动 舒适型,一汽大众速腾韩泰轮胎出现很多裂纹,"F100,",2020-09-19,信息审核
523858,长城汽车,哈弗H2,2014款 1.5T 手动 两驱精英版 5座,哈弗H2开空调发动机严重异响抖动,"A9,A24,",2020-09-19,厂家受理
523848,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜冷车启动抖动熄火后发动机异响,"B33,B95,",2020-09-19,信息审核
523846,广汽丰田,凯美瑞,2011款 200G 2.0 自动 经典周年纪念版,广汽丰田凯美瑞仪表台软化反光出油,"H176,",2020-09-19,信息审核
523842,广汽丰田,凯美瑞,2007款 240G 豪华版,广汽丰田凯美瑞仪表台出油发粘影响用车,"H176,",2020-09-19,信息审核
523840,东风日产,轩逸,2020款 1.6L XL CVT 悦享版,东风日产轩逸新车发动机启停和变速箱故障,"B96,H263,",2020-09-19,信息审核
523837,上汽大众,桑塔纳,2019款 1.5L 手动 风尚版 国VI,上汽大众桑塔纳发动机异响驾驶室特别明显,"A9,",2020-09-19,信息审核
523835,一汽-大众,T-ROC探歌,2020款 280TSI DSG 四驱 舒适型,一汽大众探歌车前测距监控系统传感器无数据,"H170,",2020-09-19,信息审核
523833,上汽大众,朗逸,2015款 230TSI DSG舒适版,上汽大众朗逸胎压监测系统未报警,"H203,",2020-09-19,信息审核
523831,东风日产,天籁,2020款 2.0L XL 舒适版,东风日产天籁减震器异响希望厂家尽快解决,"G52,",2020-09-19,信息审核
523829,上汽大众,朗逸,2019款 1.5L 自动 视野版 国VI,上汽大众朗逸起步时车身底盘有异响,"G56,G125,H15,",2020-09-19,信息审核
523827,上汽大众,途安,2016款 途安L 280TSI 自动 舒适版,上汽大众途安颠簸路行驶发动机及变速箱异响,"A9,B33,",2020-09-19,信息审核
